gene_id,log2FoldChange,pvalue,padj,Comparison
YLR275W,-1.270963,0.0001339802,0.0005733674,A_vs_E
YLR303W,-1.416865,0.001987904,0.006063206,A_vs_E
YLR304C,-1.571841,5.825177e-11,1.249952e-09,A_vs_E
YLR306W,-1.184485,0.0007113895,0.002527818,A_vs_E
YLR345W,-1.33833,4.305233e-07,3.64897e-06,A_vs_E
YLR347C,-1.301063,1.657069e-05,9.081098e-05,A_vs_E
YLR348C,-1.855975,1.699137e-12,5.199962e-11,A_vs_E
YLR350W,-2.026129,1.16329e-06,8.861362e-06,A_vs_E
YLR351C,-1.063328,3.518998e-05,0.0001784091,A_vs_E
YLR354C,-1.632292,4.530784e-05,0.0002226661,A_vs_E
YLR355C,-1.121895,0.0003902209,0.001498428,A_vs_E
YLR358C,-1.197826,0.009854622,0.02445198,A_vs_E
YLR359W,-2.018718,3.194186e-05,0.0001637121,A_vs_E
YLR370C,-1.061858,0.001801568,0.005593924,A_vs_E
YLR389C,-1.288579,3.039533e-12,8.778633e-11,A_vs_E
YLR393W,-1.710018,1.737572e-05,9.496646e-05,A_vs_E
YLR415C,-1.108467,0.02187189,0.04803146,A_vs_E
YLR422W,-1.903006,5.525926e-30,1.4031250000000002e-27,A_vs_E
YLR440C,-1.149949,5.836622e-06,3.689665e-05,A_vs_E
YLR446W,-1.501974,4.355542e-06,2.854051e-05,A_vs_E
YLR450W,-1.569964,1.55057e-17,1.211432e-15,A_vs_E
YLR456W,-1.002662,0.002264991,0.006769424,A_vs_E
YLR459W,-2.79696,2.420915e-14,1.031682e-12,A_vs_E
YML001W,-1.024963,0.001237649,0.004037598,A_vs_E
YML003W,-1.541883,1.967569e-05,0.0001058285,A_vs_E
YML019W,-1.064371,0.002865653,0.008292162,A_vs_E
YML038C,-1.062077,0.001356249,0.004370694,A_vs_E
YML042W,-1.890991,1.458203e-05,8.107927e-05,A_vs_E
YML052W,-3.352459,1.863127e-14,8.287515e-13,A_vs_E
YML075C,-1.080463,0.001414056,0.004535397,A_vs_E
YML083C,-2.994884,4.718298e-14,1.855052e-12,A_vs_E
YML086C,-1.41056,4.734357e-06,3.070699e-05,A_vs_E
YML087C,-5.187747,3.098164e-38,1.573351e-35,A_vs_E
YML116W,-1.238811,2.004329e-06,1.416981e-05,A_vs_E
YML120C,-1.560109,1.338285e-05,7.593586e-05,A_vs_E
YML121W,-1.592434,3.820589e-06,2.539004e-05,A_vs_E
YML123C,-5.899548,6.400492999999999e-41,4.3338449999999994e-38,A_vs_E
YML126C,-1.451089,1.382826e-05,7.802723e-05,A_vs_E
